epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,2054.37,0.32446,0.24628,0.86686,0.9259,0.9603,0.96597,0.79649,0.51337,0.30216,0.85435,0.000228086,0.000228086,0.000228086
125,2076.51,0.34982,0.25296,0.86206,0.92763,0.9603,0.98311,0.80206,0.51844,0.30157,0.85422,0.000226404,0.000226404,0.000226404
126,2098.75,0.34419,0.25476,0.87248,0.92707,0.9651,0.98336,0.80922,0.50802,0.29883,0.85369,0.000224722,0.000224722,0.000224722
127,2120.9,0.34706,0.24374,0.86577,0.96994,0.95101,0.98768,0.80801,0.51463,0.302,0.85466,0.000223039,0.000223039,0.000223039
128,2143.21,0.34128,0.25496,0.85529,0.97053,0.95154,0.98768,0.80335,0.51628,0.30166,0.8551,0.000221357,0.000221357,0.000221357
129,2165.4,0.34093,0.24971,0.87077,0.97728,0.95191,0.98768,0.8057,0.52249,0.29851,0.85754,0.000219675,0.000219675,0.000219675
130,2187.45,0.35142,0.26141,0.87391,0.98322,0.95064,0.98494,0.79799,0.52626,0.29501,0.85833,0.000217993,0.000217993,0.000217993
131,2209.69,0.34687,0.24569,0.86053,0.98413,0.95348,0.98693,0.80267,0.51431,0.29583,0.85669,0.000216311,0.000216311,0.000216311
132,2232.06,0.35076,0.24785,0.86956,0.98193,0.9572,0.98763,0.81012,0.51919,0.29475,0.8561,0.000214628,0.000214628,0.000214628
133,2254.4,0.35128,0.25052,0.867,0.98045,0.95017,0.98747,0.80069,0.52548,0.29435,0.85613,0.000212946,0.000212946,0.000212946
134,2277,0.32434,0.23929,0.86352,0.98034,0.94947,0.98703,0.79929,0.52148,0.29411,0.85585,0.000211264,0.000211264,0.000211264
135,2299.99,0.37063,0.25877,0.87878,0.98394,0.95195,0.9873,0.79679,0.52482,0.29894,0.85636,0.000209582,0.000209582,0.000209582
136,2322.79,0.36807,0.26263,0.86417,0.98648,0.95252,0.98732,0.8034,0.52794,0.29505,0.85773,0.000207899,0.000207899,0.000207899
137,2345.53,0.33423,0.23999,0.85771,0.98618,0.95312,0.98585,0.80848,0.51814,0.2934,0.8566,0.000206217,0.000206217,0.000206217
138,2368.16,0.33058,0.24407,0.86162,0.98424,0.95294,0.98773,0.80691,0.52021,0.29305,0.85921,0.000204535,0.000204535,0.000204535
139,2391.09,0.34901,0.25615,0.87249,0.97947,0.95616,0.9877,0.81,0.51631,0.29358,0.85763,0.000202853,0.000202853,0.000202853
140,2414.06,0.33965,0.24807,0.86184,0.98165,0.95575,0.98768,0.79944,0.51896,0.30169,0.85597,0.000201171,0.000201171,0.000201171
141,2436.76,0.35856,0.25443,0.86674,0.97888,0.95479,0.98735,0.79788,0.52547,0.30545,0.85691,0.000199488,0.000199488,0.000199488
142,2459.43,0.3545,0.25886,0.86896,0.98286,0.95553,0.98712,0.80097,0.52255,0.30179,0.85492,0.000197806,0.000197806,0.000197806
143,2482.17,0.34487,0.25533,0.85789,0.98298,0.95587,0.9875,0.80079,0.51749,0.29619,0.85441,0.000196124,0.000196124,0.000196124
144,2504.81,0.34335,0.24223,0.8657,0.98053,0.95654,0.98689,0.7966,0.51711,0.29604,0.85485,0.000194442,0.000194442,0.000194442
145,2527.34,0.33451,0.25939,0.87038,0.98214,0.95264,0.98731,0.80206,0.51617,0.30099,0.85483,0.000192759,0.000192759,0.000192759
146,2549.68,0.33618,0.23961,0.85914,0.98228,0.95238,0.98731,0.80537,0.51698,0.30121,0.8552,0.000191077,0.000191077,0.000191077
147,2572.08,0.34084,0.24597,0.86248,0.9839,0.95784,0.98663,0.80921,0.51649,0.29708,0.85554,0.000189395,0.000189395,0.000189395
148,2594.38,0.34519,0.24067,0.8581,0.9554,0.94116,0.98221,0.80185,0.51511,0.29882,0.85528,0.000187713,0.000187713,0.000187713
149,2616.64,0.33102,0.24565,0.85799,0.93257,0.96756,0.98225,0.79854,0.52434,0.2975,0.85751,0.00018603,0.00018603,0.00018603
150,2638.9,0.34983,0.25825,0.86145,0.93663,0.96781,0.9823,0.80633,0.51066,0.29213,0.85673,0.000184348,0.000184348,0.000184348
